Date,ExitType,PnL
2025-09-02 19:00:00+00:00,EXIT,0.00014362037044927275
2025-09-02 19:15:00+00:00,EXIT,-8.880933199455145e-05
2025-09-02 19:30:00+00:00,EXIT,-0.00010495703281657408
2025-09-02 19:45:00+00:00,EXIT,2.1923316153759154e-05
2025-09-02 20:00:00+00:00,EXIT,-0.00017033943676432703
2025-09-02 22:45:00+00:00,EXIT,9.476064157709596e-05
2025-09-03 13:30:00+00:00,EXIT,-5.704996702167909e-06
2025-09-03 13:45:00+00:00,EXIT,8.088465734744226e-05
2025-09-03 15:45:00+00:00,EXIT,9.86684640934779e-05
2025-09-03 16:00:00+00:00,EXIT,-3.22431996550802e-06
2025-09-03 18:45:00+00:00,EXIT,-7.913711260810628e-05
2025-09-04 08:00:00+00:00,EXIT,1.5733205772573138e-05
2025-09-04 23:45:00+00:00,EXIT,2.5116368247248356e-05
2025-09-05 08:15:00+00:00,EXIT,-8.45303119458957e-05
2025-09-05 11:30:00+00:00,EXIT,2.154971759602936e-05
2025-09-08 17:00:00+00:00,EXIT,5.8330762827375417e-05
2025-09-08 19:00:00+00:00,EXIT,9.747884765100077e-05
2025-09-09 16:00:00+00:00,EXIT,3.567587295252889e-05
2025-09-09 16:15:00+00:00,EXIT,0.00017260071421180712
2025-09-11 08:00:00+00:00,EXIT,-1.6058893585791778e-05
2025-09-11 08:15:00+00:00,EXIT,6.0170801460299475e-05
2025-09-11 13:15:00+00:00,EXIT,-6.981445174261725e-05
2025-09-11 16:30:00+00:00,EXIT,-0.00012089219092331619
2025-09-11 16:45:00+00:00,EXIT,0.00012496834286566851
2025-09-12 08:00:00+00:00,EXIT,2.0768617497379345e-05
2025-09-12 08:15:00+00:00,EXIT,-0.00011672414259204389
2025-09-12 08:30:00+00:00,EXIT,-3.3803620598759985e-05
2025-09-12 08:45:00+00:00,EXIT,-3.264327388820405e-05
2025-09-12 10:00:00+00:00,EXIT,-2.9949685724531035e-05
2025-09-12 10:15:00+00:00,EXIT,-0.0001017704229405773
2025-09-12 11:00:00+00:00,EXIT,-9.644086451018079e-05
2025-09-12 13:30:00+00:00,EXIT,-1.9435704752094417e-05
2025-09-12 13:45:00+00:00,EXIT,-4.432492619312677e-05
2025-09-12 14:00:00+00:00,EXIT,-0.00014387669221492934
2025-09-12 23:00:00+00:00,EXIT,1.8527358335439548e-05
2025-09-12 23:15:00+00:00,EXIT,-4.2650665499787344e-05
2025-09-12 23:30:00+00:00,EXIT,0.00027100725263182684
2025-09-12 23:45:00+00:00,EXIT,6.960056495010505e-06
2025-09-15 09:15:00+00:00,EXIT,-0.0001683197884830732
2025-09-15 14:00:00+00:00,EXIT,7.533315182545186e-05
2025-09-15 15:00:00+00:00,EXIT,-3.330358972245295e-05
2025-09-15 16:30:00+00:00,EXIT,0.00017952968088906903
2025-09-02 23:00:00+00:00,EXIT,0.00016602493821333717
2025-09-03 08:30:00+00:00,EXIT,-4.268642705753109e-07
2025-09-03 09:00:00+00:00,EXIT,0.0001008750717730574
2025-09-03 09:15:00+00:00,EXIT,-6.084413140867284e-05
