Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail
0.01934159829024562,0.009155223341242802,0.0171362035728815,0.1904987398816948,172.0,48.837209302325576,1.0226454465412689,2025-09-15 18:43:17,,,,0.55,0.25,0.005,0.02,0.01
-0.09328597463207355,-0.045464492797896265,-0.0765085734341228,0.222784195282677,172.0,45.93023255813954,0.8919982290402348,2025-09-15 18:43:17,,,,0.55,0.25,0.005,0.02,0.02
-0.03206717374308887,-0.014982298519077656,-0.0283587770990829,0.1582826806203363,172.0,45.93023255813954,0.963141001960874,2025-09-15 18:43:18,,,,0.55,0.25,0.005,0.03,0.01
-0.07427334759783077,-0.03171545512961272,-0.0570839491449175,0.3178642806635379,172.0,45.34883720930232,0.9230567595337694,2025-09-15 18:43:18,,,,0.55,0.25,0.005,0.03,0.02
-0.22300375620960544,-0.0977710083582793,-0.161182092016086,0.2964073173149062,172.0,43.604651162790695,0.7789375481535353,2025-09-15 18:43:19,,,,0.55,0.25,0.005,0.05,0.01
-0.1650549527348888,-0.07823914408533471,-0.1240909070702541,0.2777935884819116,172.0,45.34883720930232,0.8207625836997496,2025-09-15 18:43:19,,,,0.55,0.25,0.005,0.05,0.02
-0.02334096195060198,-0.010585106435754256,-0.0174141607097282,0.1972244153091162,172.0,47.674418604651166,0.9738564646673916,2025-09-15 18:43:19,,,,0.55,0.25,0.01,0.02,0.01
-0.14734015078136098,-0.06983194208749793,-0.1113783417567545,0.2361203270910494,172.0,48.837209302325576,0.8399144624506315,2025-09-15 18:43:20,,,,0.55,0.25,0.01,0.02,0.02
0.07532988201024438,0.03631903379909883,0.0679984802318041,0.2509645056175791,172.0,46.51162790697674,1.0921721555865105,2025-09-15 18:43:20,,,,0.55,0.25,0.01,0.03,0.01
-0.04745184636223421,-0.022175317344371805,-0.0333569491463722,0.2187559773577541,172.0,49.41860465116279,0.943942421356143,2025-09-15 18:43:21,,,,0.55,0.25,0.01,0.03,0.02
0.0828295929619971,0.040558249418203254,0.0723649138986956,0.2105581844746407,172.0,52.90697674418605,1.107966086822879,2025-09-15 18:43:21,,,,0.55,0.25,0.01,0.05,0.01
0.10604916292273892,0.04956628706367276,0.0802351334550295,0.1959549954155148,172.0,56.97674418604651,1.1327028240731625,2025-09-15 18:43:22,,,,0.55,0.25,0.01,0.05,0.02
0.054653870338716715,0.02481331756406347,0.0461791691655479,0.1484881005569427,172.0,50.0,1.0646839852776158,2025-09-15 18:43:22,,,,0.55,0.25,0.02,0.02,0.01
-0.11213458326149173,-0.05451733314626706,-0.0863023828289982,0.2039977700025619,172.0,47.674418604651166,0.8697003105101283,2025-09-15 18:43:22,,,,0.55,0.25,0.02,0.02,0.02
-0.21793380557595388,-0.10712398540198023,-0.1667829724718657,0.3503874676937357,172.0,44.18604651162791,0.7598744326602578,2025-09-15 18:43:23,,,,0.55,0.25,0.02,0.03,0.01
0.09973733996397893,0.0474976649022064,0.0854854478011648,0.1886947008396311,172.0,48.25581395348838,1.1283214671465838,2025-09-15 18:43:23,,,,0.55,0.25,0.02,0.03,0.02
-0.031259656830240345,-0.014075100347443343,-0.0232693453736131,0.1882634140164873,172.0,47.674418604651166,0.9645152160995908,2025-09-15 18:43:24,,,,0.55,0.25,0.02,0.05,0.01
-0.2931983196257759,-0.13539269102355792,-0.2159283386088106,0.3598993430460218,172.0,44.18604651162791,0.7152728762034262,2025-09-15 18:43:24,,,,0.55,0.25,0.02,0.05,0.02
0.1329164332078525,0.03236567298972935,0.0544455908196083,0.3844816033861109,172.0,54.65116279069767,1.0841806068651028,2025-09-15 18:43:25,,,,0.55,0.5,0.005,0.02,0.01
-0.028140744297422415,-0.00674140078014379,-0.0111938127815624,0.3854435226842145,172.0,50.58139534883721,0.983881722598705,2025-09-15 18:43:25,,,,0.55,0.5,0.005,0.02,0.02
-0.1454936217979652,-0.039569222405903146,-0.067124346353323,0.4194964551131996,172.0,49.41860465116279,0.9072295155260974,2025-09-15 18:43:25,,,,0.55,0.5,0.005,0.03,0.01
-0.07955259030949513,-0.01846654059787535,-0.0296319008146339,0.3928089921098832,172.0,47.674418604651166,0.9548363789530652,2025-09-15 18:43:26,,,,0.55,0.5,0.005,0.03,0.02
0.0025493317078684186,0.000712547363160992,0.0011332279021845,0.464793802891783,172.0,51.74418604651163,1.0017714193834513,2025-09-15 18:43:26,,,,0.55,0.5,0.005,0.05,0.01
0.1540051392184827,0.03158248546885336,0.0578180749433611,0.3737399545146291,172.0,48.837209302325576,1.0810872368330569,2025-09-15 18:43:27,,,,0.55,0.5,0.005,0.05,0.02
-0.09110386536452797,-0.02107094255203081,-0.0365903183609791,0.3451983121390167,172.0,47.093023255813954,0.9483606439067468,2025-09-15 18:43:27,,,,0.55,0.5,0.01,0.02,0.01
0.33932940348539997,0.07546188455171875,0.1141056969911597,0.8018919275204595,172.0,52.90697674418605,1.2114422924032255,2025-09-15 18:43:27,,,,0.55,0.5,0.01,0.02,0.02
0.005021486193323987,0.001262459031657622,0.0021831643674059,0.4499581410853936,172.0,50.0,1.003140624011923,2025-09-15 18:43:28,,,,0.55,0.5,0.01,0.03,0.01
-0.8438736464146057,-0.20692736889864033,-0.3454461385962302,0.848426152704207,172.0,40.11627906976744,0.6036206140647452,2025-09-15 18:43:28,,,,0.55,0.5,0.01,0.03,0.02
