Date,ExitType,PnL
2025-09-02 19:00:00+00:00,EXIT,-0.0005103490877861864
2025-09-02 19:30:00+00:00,EXIT,-3.032776275026424e-05
2025-09-02 20:00:00+00:00,EXIT,-0.00021461285412467332
2025-09-02 22:45:00+00:00,EXIT,0.0010841600415970613
2025-09-03 13:30:00+00:00,EXIT,2.056503443547141e-06
2025-09-03 13:45:00+00:00,EXIT,0.00025090003110188943
2025-09-03 15:45:00+00:00,EXIT,8.446045924977775e-05
2025-09-03 16:00:00+00:00,EXIT,0.0010780034012270307
2025-09-03 18:45:00+00:00,EXIT,0.0002267934189211051
2025-09-04 08:00:00+00:00,EXIT,-0.0007213753517739865
2025-09-05 08:15:00+00:00,EXIT,0.00014767283992915485
2025-09-05 11:30:00+00:00,EXIT,0.000638446919544307
2025-09-08 17:00:00+00:00,EXIT,4.079512451500869e-05
2025-09-08 19:00:00+00:00,EXIT,0.0004785097075363711
2025-09-09 16:00:00+00:00,EXIT,0.0004236261188569282
2025-09-09 16:15:00+00:00,EXIT,3.51120848368053e-05
2025-09-11 08:00:00+00:00,EXIT,6.305682413207399e-05
2025-09-11 08:15:00+00:00,EXIT,-0.00014619448348782485
2025-09-11 16:30:00+00:00,EXIT,0.0002811393031529516
2025-09-11 16:45:00+00:00,EXIT,-0.00017321708253924633
2025-09-12 08:00:00+00:00,EXIT,-3.703334928119507e-05
2025-09-12 08:15:00+00:00,EXIT,-0.00027715950321883354
2025-09-12 08:30:00+00:00,EXIT,0.00013052350485688233
2025-09-12 08:45:00+00:00,EXIT,-0.0004968126161844315
2025-09-12 13:30:00+00:00,EXIT,-0.0006033557145251491
2025-09-12 13:45:00+00:00,EXIT,0.000302601674667831
2025-09-12 14:00:00+00:00,EXIT,0.0011428191652098371
2025-09-12 23:00:00+00:00,EXIT,-0.0001791208996421724
2025-09-12 23:15:00+00:00,EXIT,0.0004744044080189257
2025-09-12 23:30:00+00:00,EXIT,0.00032846847864392186
2025-09-12 23:45:00+00:00,EXIT,0.00043105149617442924
2025-09-15 09:15:00+00:00,EXIT,6.437256265475017e-05
2025-09-03 08:30:00+00:00,EXIT,0.0004409071234229331
2025-09-03 09:00:00+00:00,EXIT,-3.6681290233492875e-05
2025-09-03 09:15:00+00:00,EXIT,0.0005131200223243328
2025-09-03 12:00:00+00:00,EXIT,0.0002927990439199268
2025-09-03 13:30:00+00:00,EXIT,-0.0009302928919068958
2025-09-03 13:45:00+00:00,EXIT,0.0007944055921099231
2025-09-03 14:00:00+00:00,EXIT,-0.0007753540789461057
2025-09-03 14:15:00+00:00,EXIT,-0.0008856116585055825
2025-09-03 23:00:00+00:00,EXIT,0.0009919717394424774
2025-09-03 23:15:00+00:00,EXIT,6.689967088519958e-05
2025-09-03 23:30:00+00:00,EXIT,-0.00010763222864570171
2025-09-04 16:15:00+00:00,EXIT,-6.488532075098447e-06
2025-09-04 18:00:00+00:00,EXIT,-0.00022906848325527076
2025-09-04 18:45:00+00:00,EXIT,9.245507478358274e-05
2025-09-04 19:15:00+00:00,EXIT,-0.000176481701506331
2025-09-04 22:15:00+00:00,EXIT,0.00036931019305473786
2025-09-04 22:30:00+00:00,EXIT,0.000372182554349348
2025-09-04 23:00:00+00:00,EXIT,-0.0005511046163724306
2025-09-04 23:15:00+00:00,EXIT,-0.00042204438134818236
2025-09-04 23:30:00+00:00,EXIT,1.1250507178889212e-05
2025-09-04 23:45:00+00:00,EXIT,-0.0006643730969521014
2025-09-05 08:00:00+00:00,EXIT,3.326465338939643e-05
2025-09-05 08:15:00+00:00,EXIT,-0.00082706617702029
2025-09-05 08:30:00+00:00,EXIT,-0.00032100373237584995
2025-09-05 12:30:00+00:00,EXIT,-0.000919823217601138
2025-09-05 14:30:00+00:00,EXIT,0.00045971503630034394
2025-09-05 15:45:00+00:00,EXIT,0.0007178186194403845
2025-09-05 16:00:00+00:00,EXIT,-0.0002990054913560429
2025-09-05 16:15:00+00:00,EXIT,0.0008788309313459543
2025-09-05 16:30:00+00:00,EXIT,0.0001538241777053047
2025-09-05 18:45:00+00:00,EXIT,-0.00040278350082966884
2025-09-05 23:00:00+00:00,EXIT,-0.00023319646039596302
2025-09-05 23:15:00+00:00,EXIT,0.00028760944613534864
2025-09-05 23:30:00+00:00,EXIT,0.00019626981254565546
2025-09-05 23:45:00+00:00,EXIT,-0.0003268655405498686
2025-09-08 23:15:00+00:00,EXIT,0.0004624293421321202
2025-09-08 23:30:00+00:00,EXIT,-0.0006056303516334021
2025-09-08 23:45:00+00:00,EXIT,3.093292135959488e-05
2025-09-09 15:00:00+00:00,EXIT,0.00016451564080022262
2025-09-09 23:00:00+00:00,EXIT,3.5269627088052936e-05
2025-09-10 13:30:00+00:00,EXIT,-0.0004741182266266571
2025-09-10 13:45:00+00:00,EXIT,-0.00010979484233626182
2025-09-10 14:00:00+00:00,EXIT,-3.329649202957406e-05
2025-09-10 14:15:00+00:00,EXIT,-7.952649754782953e-05
2025-09-10 14:30:00+00:00,EXIT,-7.948535870542142e-05
2025-09-10 16:30:00+00:00,EXIT,-0.0005626280667671235
2025-09-10 23:00:00+00:00,EXIT,0.0004448846769845859
2025-09-10 23:15:00+00:00,EXIT,-0.00028685421332120013
2025-09-10 23:30:00+00:00,EXIT,-0.0006725932704809118
2025-09-11 08:15:00+00:00,EXIT,0.0002514567733536861
2025-09-11 08:30:00+00:00,EXIT,-0.0008067812240207548
2025-09-11 13:30:00+00:00,EXIT,-0.00014978415615385398
2025-09-11 13:45:00+00:00,EXIT,-0.00039676182722390307
