Date,ExitType,PnL
2025-09-02 19:00:00+00:00,EXIT,0.00010352449156565538
2025-09-02 19:15:00+00:00,EXIT,0.00023593572684452684
2025-09-02 19:30:00+00:00,EXIT,-4.099855215567677e-05
2025-09-02 19:45:00+00:00,EXIT,-2.648075173568072e-05
2025-09-02 20:00:00+00:00,EXIT,5.0419007422801265e-05
2025-09-02 22:45:00+00:00,EXIT,-0.00017082322548806291
2025-09-03 13:30:00+00:00,EXIT,0.00023815827357284594
2025-09-03 13:45:00+00:00,EXIT,0.00019061388560365734
2025-09-03 15:45:00+00:00,EXIT,-0.00017286624976867399
2025-09-03 16:00:00+00:00,EXIT,-4.065756493750573e-05
2025-09-03 18:45:00+00:00,EXIT,0.0001536071465102866
2025-09-04 08:00:00+00:00,EXIT,-8.464384766682476e-05
2025-09-05 08:15:00+00:00,EXIT,9.533704333909941e-05
2025-09-05 11:30:00+00:00,EXIT,-0.00016465245683781996
2025-09-08 17:00:00+00:00,EXIT,7.253991856248538e-05
2025-09-08 19:00:00+00:00,EXIT,-2.465377220776563e-06
2025-09-09 16:00:00+00:00,EXIT,1.17234312038587e-05
2025-09-09 16:15:00+00:00,EXIT,6.03054594107456e-05
2025-09-11 08:00:00+00:00,EXIT,0.0001778627054827213
2025-09-11 08:15:00+00:00,EXIT,-3.625678576269915e-05
2025-09-11 16:30:00+00:00,EXIT,-7.58760803491313e-05
2025-09-11 16:45:00+00:00,EXIT,3.374012501128548e-05
2025-09-12 08:00:00+00:00,EXIT,8.018051202645335e-05
2025-09-12 08:15:00+00:00,EXIT,-8.496048547212341e-05
2025-09-12 08:30:00+00:00,EXIT,0.00024344308305141861
2025-09-12 08:45:00+00:00,EXIT,-0.00022343322381871043
2025-09-12 10:00:00+00:00,EXIT,7.876016823787637e-05
2025-09-12 10:15:00+00:00,EXIT,-2.832713394366043e-05
2025-09-12 11:00:00+00:00,EXIT,0.00019617461523380262
2025-09-12 13:30:00+00:00,EXIT,-0.00016395545282719113
2025-09-12 13:45:00+00:00,EXIT,8.511774443691747e-05
2025-09-12 14:00:00+00:00,EXIT,-5.602101604532579e-05
2025-09-12 23:00:00+00:00,EXIT,0.00010342678877115605
2025-09-12 23:15:00+00:00,EXIT,1.4670279531476977e-05
2025-09-12 23:30:00+00:00,EXIT,3.687817639841157e-05
2025-09-12 23:45:00+00:00,EXIT,0.00017688795727417811
2025-09-15 09:15:00+00:00,EXIT,-0.0001006256291474647
2025-09-15 14:00:00+00:00,EXIT,0.00016784199449647089
2025-09-15 15:00:00+00:00,EXIT,-4.466687604820302e-05
2025-09-15 16:30:00+00:00,EXIT,-4.5621974038737385e-05
2025-09-02 23:00:00+00:00,EXIT,-2.3438999525648387e-05
2025-09-03 08:30:00+00:00,EXIT,-7.878636744259052e-05
2025-09-03 09:00:00+00:00,EXIT,-5.961826537043951e-06
2025-09-03 09:15:00+00:00,EXIT,6.072140190106642e-05
2025-09-03 09:45:00+00:00,EXIT,5.7785997967916066e-05
2025-09-03 12:00:00+00:00,EXIT,-3.976541948475239e-05
2025-09-03 12:30:00+00:00,EXIT,6.054659955412641e-05
2025-09-03 13:30:00+00:00,EXIT,0.00012387415962717587
2025-09-03 13:45:00+00:00,EXIT,-5.230999640027624e-05
2025-09-03 14:00:00+00:00,EXIT,-4.333397459105394e-05
2025-09-03 14:15:00+00:00,EXIT,4.750283489778086e-05
2025-09-03 23:00:00+00:00,EXIT,6.64824858142097e-05
2025-09-03 23:15:00+00:00,EXIT,-6.620306895144331e-05
2025-09-03 23:30:00+00:00,EXIT,9.428073400601081e-05
2025-09-04 10:00:00+00:00,EXIT,8.415603339189022e-05
2025-09-04 13:00:00+00:00,EXIT,0.00015718805301484116
2025-09-04 14:30:00+00:00,EXIT,9.074522560744063e-05
2025-09-04 16:15:00+00:00,EXIT,-3.6937957544142585e-05
2025-09-04 18:00:00+00:00,EXIT,9.464399388389395e-05
2025-09-04 18:45:00+00:00,EXIT,-5.214062192787045e-05
2025-09-04 19:15:00+00:00,EXIT,-0.00021575508207805367
2025-09-04 20:30:00+00:00,EXIT,-5.89125295879051e-05
2025-09-04 22:15:00+00:00,EXIT,-2.1098269239127927e-05
2025-09-04 22:30:00+00:00,EXIT,-1.354912258358404e-05
2025-09-04 23:00:00+00:00,EXIT,1.1166744294825192e-05
2025-09-04 23:15:00+00:00,EXIT,0.00011860854995668813
2025-09-04 23:30:00+00:00,EXIT,1.112762168587205e-05
2025-09-04 23:45:00+00:00,EXIT,-0.00017687357883775545
2025-09-05 08:00:00+00:00,EXIT,8.503624619856786e-05
2025-09-05 08:15:00+00:00,EXIT,0.00017904996960729395
2025-09-05 08:30:00+00:00,EXIT,0.0001925460753884861
2025-09-05 10:30:00+00:00,EXIT,0.00013480339372727826
2025-09-05 12:30:00+00:00,EXIT,7.295470723706711e-05
2025-09-05 14:30:00+00:00,EXIT,0.0001177608679436835
2025-09-05 15:45:00+00:00,EXIT,4.2107245806456334e-05
2025-09-05 16:00:00+00:00,EXIT,-7.048710043368611e-05
2025-09-05 16:15:00+00:00,EXIT,-5.2662916642364035e-05
2025-09-05 16:30:00+00:00,EXIT,-7.675463167164031e-07
2025-09-05 18:45:00+00:00,EXIT,9.777976550023521e-05
2025-09-05 22:00:00+00:00,EXIT,4.787825802441873e-05
2025-09-05 22:45:00+00:00,EXIT,-5.6207913867076223e-05
2025-09-05 23:00:00+00:00,EXIT,9.851095541955614e-05
2025-09-05 23:15:00+00:00,EXIT,0.0001413051671326208
2025-09-05 23:30:00+00:00,EXIT,-5.7794113414642414e-06
2025-09-05 23:45:00+00:00,EXIT,-7.675927114785362e-05
2025-09-08 23:15:00+00:00,EXIT,-0.00015615649075948027
2025-09-08 23:30:00+00:00,EXIT,-2.6723649923253502e-05
2025-09-08 23:45:00+00:00,EXIT,-0.00014259723215704826
2025-09-09 14:45:00+00:00,EXIT,2.5474355440567326e-05
2025-09-09 15:00:00+00:00,EXIT,0.00014253044163832905
2025-09-09 23:00:00+00:00,EXIT,6.919461368909271e-05
2025-09-10 13:30:00+00:00,EXIT,-4.9566809808850375e-05
2025-09-10 13:45:00+00:00,EXIT,0.00010101875832099602
2025-09-10 14:00:00+00:00,EXIT,-5.862190681884383e-05
2025-09-10 14:15:00+00:00,EXIT,-0.00015621577771410855
2025-09-10 14:30:00+00:00,EXIT,-0.0002570936222014139
2025-09-10 16:30:00+00:00,EXIT,-4.415336230683033e-05
2025-09-10 23:00:00+00:00,EXIT,0.00019289824361399272
2025-09-10 23:15:00+00:00,EXIT,9.309997161343143e-06
2025-09-10 23:30:00+00:00,EXIT,7.22038217010134e-05
2025-09-11 08:15:00+00:00,EXIT,4.392862379836356e-05
2025-09-11 08:30:00+00:00,EXIT,-0.0001257614159520139
2025-09-11 13:30:00+00:00,EXIT,-2.419645345269054e-06
2025-09-11 13:45:00+00:00,EXIT,8.153160546379408e-05
2025-09-11 14:00:00+00:00,EXIT,0.0001653328199163292
2025-09-11 14:15:00+00:00,EXIT,0.00020914211555929417
2025-09-11 14:30:00+00:00,EXIT,9.149817889134417e-05
2025-09-11 14:45:00+00:00,EXIT,-3.258702784949475e-05
2025-09-11 16:15:00+00:00,EXIT,8.225360208925074e-05
2025-09-11 16:30:00+00:00,EXIT,6.907405014592261e-05
2025-09-11 16:45:00+00:00,EXIT,-0.00018334985320720662
2025-09-11 17:00:00+00:00,EXIT,-0.00010361914609578411
2025-09-11 19:00:00+00:00,EXIT,-1.7316642545856344e-05
2025-09-11 19:30:00+00:00,EXIT,-6.844220201808886e-05
2025-09-11 22:45:00+00:00,EXIT,-2.431732265020498e-05
2025-09-12 08:00:00+00:00,EXIT,4.160027102400132e-05
2025-09-12 08:15:00+00:00,EXIT,-0.0002638552862794851
2025-09-12 08:30:00+00:00,EXIT,-6.072821099811353e-06
2025-09-12 10:30:00+00:00,EXIT,2.047772199323927e-05
2025-09-12 11:45:00+00:00,EXIT,-8.246340902028132e-05
2025-09-12 13:30:00+00:00,EXIT,5.732752678550486e-05
2025-09-12 13:45:00+00:00,EXIT,-4.786836985914548e-05
2025-09-12 14:00:00+00:00,EXIT,0.00012785025805608783
2025-09-12 14:45:00+00:00,EXIT,-8.036001035708289e-05
2025-09-12 15:00:00+00:00,EXIT,7.05821043013781e-05
2025-09-12 15:15:00+00:00,EXIT,0.00010443903635785616
2025-09-12 15:30:00+00:00,EXIT,6.945989406688463e-05
2025-09-12 18:45:00+00:00,EXIT,8.832063115044863e-05
2025-09-12 19:30:00+00:00,EXIT,-0.00014471436532745858
2025-09-15 10:30:00+00:00,EXIT,6.377832254074553e-05
2025-09-15 10:45:00+00:00,EXIT,-0.00024983599176738356
2025-09-15 12:15:00+00:00,EXIT,-0.0001946522597805335
2025-09-15 13:45:00+00:00,EXIT,-5.190588265965779e-05
2025-09-02 08:00:00+00:00,EXIT,0.00017446237150988095
2025-09-02 19:00:00+00:00,EXIT,1.566868754702213e-05
2025-09-03 12:00:00+00:00,EXIT,-3.764944069067511e-05
2025-09-03 13:30:00+00:00,EXIT,0.00018837255921850448
2025-09-03 18:45:00+00:00,EXIT,0.0002507398863863877
2025-09-03 23:00:00+00:00,EXIT,2.9243504825285105e-05
2025-09-05 23:00:00+00:00,EXIT,-0.00021965866853315412
2025-09-05 23:15:00+00:00,EXIT,0.00016994223634134083
2025-09-08 19:15:00+00:00,EXIT,9.4660009615482e-05
2025-09-09 13:45:00+00:00,EXIT,-5.140717277541153e-05
2025-09-09 20:30:00+00:00,EXIT,0.00011251819782446884
2025-09-09 21:15:00+00:00,EXIT,-7.151605151147821e-05
2025-09-10 09:15:00+00:00,EXIT,-0.0001692937168712968
2025-09-10 09:30:00+00:00,EXIT,1.919526958669188e-05
2025-09-10 13:30:00+00:00,EXIT,-0.0003148800130491768
2025-09-10 13:45:00+00:00,EXIT,0.00011846793063289815
2025-09-10 17:45:00+00:00,EXIT,7.155531644318744e-05
2025-09-10 18:45:00+00:00,EXIT,-0.0001293537331694538
2025-09-10 19:00:00+00:00,EXIT,3.0025061383872338e-05
2025-09-11 08:45:00+00:00,EXIT,7.375874836279279e-05
2025-09-11 10:15:00+00:00,EXIT,0.00011406084952113217
2025-09-15 13:30:00+00:00,EXIT,0.00011792816682955005
