Ticker,PrevClose,PreMarket,%Change
TSLA,347.79,361.55,3.96
MRNA,24.31,25.0,2.84
AMC,2.76,2.82,2.14
SNDL,2.36,2.4,1.69
AAPL,226.79,228.65,0.82
NVDA,177.33,177.07,-0.15
AMD,159.54,155.85,-2.31
