Ticker,PrevClose,PreMarket,%Change
TSLA,347.79,360.57,3.67
MRNA,24.31,24.96,2.67
AMC,2.76,2.82,1.99
SNDL,2.36,2.4,1.69
AAPL,226.79,228.65,0.82
NVDA,177.33,177.21,-0.07
PLTR,166.74,165.42,-0.79
AMD,159.54,155.91,-2.28
