Ticker,PrevClose,PreMarket,%Change
TSLA,347.79,361.46,3.93
AMC,2.76,2.82,2.17
SNDL,2.36,2.4,1.69
AAPL,226.79,228.46,0.74
NVDA,177.33,177.07,-0.15
PLTR,166.74,165.16,-0.95
AMD,159.54,155.78,-2.36
