Ticker,PrevClose,PreMarket,%Change
TSLA,347.79,361.15,3.84
MRNA,24.31,25.0,2.84
AMC,2.76,2.81,1.81
SNDL,2.36,2.4,1.69
AAPL,226.79,228.71,0.85
NVDA,177.33,177.24,-0.05
PLTR,166.74,165.35,-0.83
AMD,159.54,155.97,-2.24
