Ticker,PrevClose,PreMarket,%Change,PreMktVol,Headline
NVDA,177.33,179.73,1.35,0,N/A
MRNA,24.31,24.5,0.78,0,N/A
AMC,2.76,2.78,0.72,0,N/A
TSLA,347.79,350.16,0.68,0,N/A
PLTR,166.74,167.17,0.26,0,N/A
AAPL,226.79,226.78,-0.0,0,N/A
AMD,159.54,158.59,-0.6,0,N/A
SNDL,2.36,2.34,-0.85,0,N/A
