Ticker,PrevClose,PreMarket,%Change
MRNA,24.31,25.0,2.86
AMC,2.76,2.82,2.17
SNDL,2.36,2.4,1.69
AAPL,226.79,228.6,0.8
NVDA,177.33,177.14,-0.11
AMD,159.54,155.85,-2.31
