Datetime,Close,High,Low,Open,Volume,gap_pct,volatility,volume_norm,rvol_10d,vwap,vwap_dev,momentum_5,rsi_14,macd,macd_signal,macd_hist,ticker
2025-09-02 08:00:00+00:00,230.97,231.46,230.57,231.46,0,,0.003845156830553939,,,,,,,0.0,0.0,0.0,AAPL
2025-09-02 08:15:00+00:00,231.05,231.2,230.97,231.06,0,0.00038966099493442186,0.0009954124469834231,,,,,,,0.006381766381764464,0.0012763532763528929,0.0051054131054115715,AAPL
2025-09-02 08:30:00+00:00,231.24,231.24,230.98,231.1,0,0.0002164033758925901,0.0011250540891389845,,,,,,,0.026465694271962548,0.0063142214754748245,0.020151472796487723,AAPL
2025-09-02 08:45:00+00:00,231.09,231.27,231.04,231.23,0,-4.324511330228043e-05,0.000994680621026762,,,,,,,0.02993355009166976,0.011038087198713811,0.018895462892955947,AAPL
2025-09-02 09:00:00+00:00,231.06,231.11,231.0,231.08,0,-4.327318360807869e-05,0.0004760256188333635,,,,,,,0.029916245675877917,0.014813718894146633,0.015102526781731284,AAPL
2025-09-02 09:15:00+00:00,231.15,231.2,231.08,231.08,0,8.655760408556319e-05,0.0005193006750907743,,,,,0.000779321989868853,,0.03674124938797263,0.019199224992911833,0.017542024395060796,AAPL
2025-09-02 09:30:00+00:00,231.07,231.2,231.03,231.15,0,0.0,0.000735453168937865,,,,,8.656135035689516e-05,,0.03528800444004787,0.02241698088233904,0.01287102355770883,AAPL
2025-09-02 09:45:00+00:00,230.94,231.11,230.94,231.02,0,-0.00021638464534549248,0.0007358670245001122,,,,,-0.0012973533990660036,,0.02337690934479042,0.022608966574829317,0.0007679427699611024,AAPL
2025-09-02 10:00:00+00:00,230.88,231.0,230.78,230.95,0,4.33012903784139e-05,0.0009525871400736042,,,,,-0.0009087368557705311,,0.008992126471355277,0.01988559855413451,-0.010893472082779233,AAPL
2025-09-02 10:15:00+00:00,230.5,230.82,230.34,230.82,0,-0.0002598752598752697,0.0020795425006498126,,,,,-0.002423612914394524,,-0.03269386724969081,0.009369705393369447,-0.04206357264306026,AAPL
2025-09-02 10:30:00+00:00,230.34,230.61,230.28,230.36,0,-0.0006073752711496154,0.0014325403715923445,,,,,-0.0035042180402335976,,-0.07774478692002162,-0.008053193069308767,-0.06969159385071286,AAPL
2025-09-02 10:45:00+00:00,230.41,230.45,230.29,230.43,0,0.00039072675175828517,0.0006943540337629501,,,,,-0.0028562773185614176,,-0.10657106544329054,-0.02775676754410512,-0.07881429789918541,AAPL
2025-09-02 11:00:00+00:00,230.49,230.65,230.35,230.43,0,8.680178811687962e-05,0.0013019138133056084,,,,,-0.0019485580670303149,,-0.12155950513593439,-0.046517315062470976,-0.07504219007346341,AAPL
2025-09-02 11:15:00+00:00,230.69,230.78,230.45,230.55,0,0.00026031498112717374,0.0014313597918022662,,,,,-0.000822938322938338,,-0.11596287520697501,-0.06040642709137179,-0.05555644811560322,AAPL
2025-09-02 11:30:00+00:00,230.6,230.7,230.5,230.68,0,-4.3348216220863085e-05,0.000867001907404147,,,,,0.0004338394793925726,39.664804469273726,-0.11743602412067844,-0.07181234649723313,-0.04562367762344531,AAPL
2025-09-02 11:45:00+00:00,230.62,230.68,230.45,230.59,0,-4.33651344318773e-05,0.000997441346112226,,,,,0.0012155943388034718,37.57225433526005,-0.11565645675537439,-0.08058116854886138,-0.03507528820651301,AAPL
2025-09-02 12:00:00+00:00,230.4299,232.14,230.2643,230.27,0,-0.001517648079091121,0.008145655100534133,,,,,8.636777917625515e-05,26.58805849372881,-0.12810885888507073,-0.09008670661610325,-0.03802215226896748,AAPL
2025-09-02 12:15:00+00:00,230.4292,230.5,230.32,230.4315,0,6.9435433509118e-06,0.0007811432030777339,,,,,-0.00026378584754216394,29.099190283401114,-0.1364609248398665,-0.09936155026085591,-0.03709937457901058,AAPL
2025-09-02 12:30:00+00:00,230.14,230.556,230.06,230.4,0,-0.00012672005110464732,0.002152777777777818,,,,,-0.0023841518921496885,25.0,-0.16451954147294146,-0.11239314850327303,-0.05212639296966842,AAPL
