Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail,ok
1.8465727212858551,0.035857142611756584,0.0520277895240103,4.252189666523543,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:02:38,,,,0.55,0.25,0.01,0.02,0.01,True
1.8465727212858551,0.035857142611756584,0.0520277895240103,4.252189666523543,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:02:39,,,,0.55,0.25,0.01,0.02,0.02,True
1.1176700128413541,0.02270773938416594,0.0318849612060744,4.039712882740421,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:02:40,,,,0.55,0.25,0.01,0.03,0.01,True
1.1176700128413541,0.02270773938416594,0.0318849612060744,4.039712882740421,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:02:41,,,,0.55,0.25,0.01,0.03,0.02,True
1.619494677917488,0.029784373607533932,0.0459225466459619,4.513590843813297,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:02:42,,,,0.55,0.25,0.01,0.05,0.01,True
1.619494677917488,0.029784373607533932,0.0459225466459619,4.513590843813297,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:02:43,,,,0.55,0.25,0.01,0.05,0.02,True
1.0827266205464925,0.02028611852670465,0.0264002733651852,4.252189666523387,516.0,46.89922480620155,1.0763764146886217,2025-09-15 18:02:44,,,,0.55,0.25,0.02,0.02,0.01,True
1.731630089486158,0.0317277081934514,0.0396033630344776,4.8865150740272085,516.0,47.86821705426357,1.1252582634040376,2025-09-15 18:02:45,,,,0.55,0.25,0.02,0.02,0.02,True
0.35929065955169204,0.007298468875904679,0.0092225452098226,4.039712882740442,516.0,46.70542635658915,1.0266140191066366,2025-09-15 18:02:46,,,,0.55,0.25,0.02,0.03,0.01,True
1.0035500105458617,0.01921577173175458,0.0233096616316105,4.718074908781422,516.0,47.674418604651166,1.0735296004738866,2025-09-15 18:02:47,,,,0.55,0.25,0.02,0.03,0.02,True
0.8573516553807226,0.015399086879571228,0.0211781506480636,4.513590843813331,516.0,46.70542635658915,1.0611149843310594,2025-09-15 18:02:49,,,,0.55,0.25,0.02,0.05,0.01,True
1.5048083232532816,0.026303235222887817,0.0346670821301068,5.188602933923237,516.0,47.674418604651166,1.10935622914257,2025-09-15 18:02:50,,,,0.55,0.25,0.02,0.05,0.02,True
